taxonomy,id,link,text
General Humanities Resources///Humanities Metapages & Portals,info8966,http://sosig.esrc.bris.ac.uk/,"Social Science Information Gateway - SOSIG (extensive, well-organized, annotated metapage of social science resources; some categories overlap with the humanities)"
General Humanities Resources///Humanities Metapages & Portals,info8866,http://mh.cla.umn.edu/websites.html,"Some Useful Sites on the Web (Michael Hancher, U. Minnesota)"
General Humanities Resources///Humanities Metapages & Portals,info8984,http://www.vada.nl/,"VADA Archieven  ""VADA Archieven Internet Site, waarmee wij u constant op de hoogte houden van ontwikkelingen en nieuws omtrent onze activiteiten"
General Humanities Resources///Humanities Metapages & Portals,info8876,http://www.ilt.columbia.edu/academic/index.html,"ILT Digital Text Project (""online academic resources and navigational interfaces in support of academic scholarship)(Robert McClintock,Institure of Learning Technologies at Teachers College, Columbia U.)"
General Humanities Resources///Humanities Metapages & Portals,info8927,http://www.suite101.com/home.cfm,"Suite101.com (directory to the Web that includes editorial columns/articles on specific areas and descriptions of editorially-chosen ""best"" pages) (i5ive communications, Inc.)"
General Humanities Resources///Humanities Metapages & Portals///Texas Cultural & Arts Network,info8665,http://www.arts.state.tx.us/,Homepage (Texas Commission on the Arts)
General Humanities Resources///Humanities Metapages & Portals///Texas Cultural & Arts Network,info8754,http://www.arts.state.tx.us/school_house/humanities.htm,Humanities
General Humanities Resources///Humanities Metapages & Portals,info17343,http://www.bytehound.com/Top/Arts/Humanities,Top Arts Humanities (Web directory)
General Humanities Resources///Humanities Metapages & Portals,info8967,http://www.scit.wlv.ac.uk/ukinfo/uk.map.html,"UK Sensitive Map: Academic (clickable maps of academic Web sites in the U. K.) (Peter Burden, U. Wolverhampton)"
General Humanities Resources///Humanities Metapages & Portals,info22641,http://www.unixlnews.com/humanities/,Peter Fiasco UnIXL Humanities News (provides updated news items in the area of humanities)
General Humanities Resources///Humanities Metapages & Portals,info8968,http://jefferson.village.virginia.edu,UVA Institute for Advanced Technology in the Humanities
General Humanities Resources///Humanities Metapages & Portals,info8666,http://www.lib.lsu.edu/weblio.html,Webliography: A Guide to Internet Resources (Louisiana State U.)
General Humanities Resources///Humanities Metapages & Portals,info8898,http://www.crrs.ca/library/library.htm,"Web Resources for Research (Centre for Reformation and Renaissance Studies, U. Toronto)"
General Humanities Resources///Humanities Metapages & Portals,info8838,http://www.wordtheque.com/,"Wordtheque -- Word by Word Multilingual Library (very large database of ""multilingual novels, technical literature and translated texts"" accessed through a search form that can be set for word, language, author, and title; search results appear in unique, expandable ""context windows) (Logos Group)"
General Humanities Resources///Humanities Metapages & Portals,info8932,http://www.wsu.edu:8080/~wldciv/world_civ_reader/,"World Civilizations Reader (headnotes and excerpts from the Harper-Collins reader; excellent general resource) (Paul Brians, et al.)"
General Humanities Resources///Humanities Metapages & Portals,info8933,http://www.wsu.edu:8080/~dee/,"World Cultures: An Internet Classroom and Anthology (""combines the reading and course materials of two World Cultures courses taught using web-based materials since fall of 1994. The site is now expanding into a larger resource for a larger population and distribution of students and will eventu"
General Humanities Resources///Humanities Metapages & Portals,info8580,http://www.yahoo.com/Humanities,Yahoo! Humanities Page
General Humanities Resources///Major Web Sites Relevant To General Humanities,info8987,http://aad.english.ucsb.edu,"Affirmative Action and Diversity: A Web Site for Research (large, well-organized set of pages with links and info designed to present ""diverse opinions regarding Affirmative Action topics. The site also houses policy documents and an annotated bibliography of research and teaching materials"") (U.California Santa Barbara)"
General Humanities Resources///Major Web Sites Relevant To General Humanities,info8988,http://ahds.ac.uk/,"Arts and Humanities Data Service (AHDS) (""national service funded by the Joint Information Systems Committee of the UK's Higher Education Funding Councils to collect, describe, and preserve the electronic resources which result from research and teaching in the humanities"")"
General Humanities Resources///Major Web Sites Relevant To General Humanities,info8935,http://www.britannica.com/,Britannica.com (the Encyclopedia Britannica online; free)
General Humanities Resources///Major Web Sites Relevant To General Humanities,info9003,http://www.stg.brown.edu,Brown U. Scholarly Technology Resources
General Humanities Resources///Major Web Sites Relevant To General Humanities///Bureau of Labor Statistics,info8989,http://stats.bls.gov/,Homepage (U. S. Dept. of Labor)
General Humanities Resources///Major Web Sites Relevant To General Humanities///Bureau of Labor Statistics///Occupational Outlook Handbook,info8879,http://www.bls.gov/oco/,Homepage (detailed description of what various jobs involve and forecasts for employment opportunities through 2005)
General Humanities Resources///Major Web Sites Relevant To General Humanities///Bureau of Labor Statistics///Occupational Outlook Handbook,info8839,http://stats.bls.gov/oco/ocos066.htm,College and University Faculty
General Humanities Resources///Major Web Sites Relevant To General Humanities///Bureau of Labor Statistics///Occupational Outlook Handbook,info8936,http://stats.bls.gov/oco/ocos089.htm,Writers and Editors
General Humanities Resources///Major Web Sites Relevant To General Humanities///Bureau of Labor Statistics,info8878,http://stats.bls.gov/oco/oco2003.htm,Tomorrow's Jobs (general forecast for 1994-2005)
General Humanities Resources///Major Web Sites Relevant To General Humanities,info8840,http://cds.aas.duke.edu/,"Center for Documentary Studies at Duke U. (""a new vision of documentary work is taking shape: one that connects the documentary process to education and community building. The Center directly supports the work of teachers and researchers, photographers, writers and filmmakers"")"
General Humanities Resources///Major Web Sites Relevant To General Humanities///Chorus - Exploring New Media in the Arts & Humanities,info8969,http://www-writing.berkeley.edu/chorus/,"Homepage of Chorus - Exploring New Media in the Arts & Humanities (""software reviews, original research, bibliographies, annotated link collections and Shockwave demonstrations"" on the use of new media in the humanities; this is the reopened version of the site originally founded by Todd Blayone)"
General Humanities Resources///Major Web Sites Relevant To General Humanities///Chorus - Exploring New Media in the Arts & Humanities,info8972,http://www.stg.brown.edu/resources/chug/chug_overview.html,CHUG: Brown U. Computing in the Humanities Users Group
General Humanities Resources///Major Web Sites Relevant To General Humanities///Chorus - Exploring New Media in the Arts & Humanities,info8943,http://www-writing.berkeley.edu/chorus/eresearch/,"Electronic Research (includes info on bibliographical management programs) (John Norman, Ohio State U. / Chorus)"
General Humanities Resources///Major Web Sites Relevant To General Humanities///Chorus - Exploring New Media in the Arts & Humanities,info8937,http://www-writing.berkeley.edu/chorus/info/index.html,Information Management (Sean Fosmire / Chorus)
General Humanities Resources///Major Web Sites Relevant To General Humanities///Chorus - Exploring New Media in the Arts & Humanities,info8971,http://www-writing.berkeley.edu/chorus/mixed/index.html,"Mixed Reviews (""software reviews written for and by arts and humanities professionals"") (Andrew Mactavish, U. Alberta /Chorus)"
General Humanities Resources///Major Web Sites Relevant To General Humanities,info8899,http://www.cnam.fr/,CNAM: Conservatoire Nationale des Arts et Métiers (in French)
General Humanities Resources///Major Web Sites Relevant To General Humanities,info9045,http://www.princeton.edu/~mccarty/humanist/,"Humanist Discussion Group (""an international electronic seminar on the application of computers to the humanities"")"
General Humanities Resources///Major Web Sites Relevant To General Humanities,info8803,http://mchip00.med.nyu.edu/lit-med/medhum.html,Medical Humanities (New York U.)
General Humanities Resources///Major Web Sites Relevant To General Humanities,info8974,http://www.nobel.se/,The Nobel Foundation
General Humanities Resources///Major Web Sites Relevant To General Humanities,info8804,http://www.almaz.com/nobel/nobel.html,The Nobel Prize Internet Archive (Almaz Enterprises)
General Humanities Resources///Major Web Sites Relevant To General Humanities,info9005,http://palinurus.english.ucsb.edu/,"Palinurus: The Academy and the Corporation -- Teaching the Humanities in a Restructured World (site created to encourage critical thought about the corporatization of higher education and the relation between academic""knowledge"" and postindustrial ""knowledge work""; currently includes ""Featured Controversies)(Alan Liu)"
General Humanities Resources///Major Web Sites Relevant To General Humanities,info8991,http://www.pedagonet.com/,"PedagoNet: Learning Material and Resource Center (""Our service is similar to a newspaper's classified section. The focus of our classified information is to facilitate the exchange of educational resource material."")"
General Humanities Resources///Major Web Sites Relevant To General Humanities,info8806,http://www.thegreatideas.org/,"Philosophy is Everybody's Business: Great Ideas from the Great Books (Center for the Study of the Great Ideas) (""founded by Mortimer J. Adler and Max Weismann, the Center is dedicated to help awaken citizens from their moral and intellectual slumbers and to understand why philosophy is everybody's business"")"
General Humanities Resources///Major Web Sites Relevant To General Humanities///RAND Home Page,info8975,http://www.rand.org/,Homepage
General Humanities Resources///Major Web Sites Relevant To General Humanities///RAND Home Page,info8992,browse.asp%3Fid=2712.html,Selected Links:
General Humanities Resources///Major Web Sites Relevant To General Humanities///RAND Home Page,info8901,http://www.rand.org:80/publications/#elec,Electronic Titles
General Humanities Resources///Major Web Sites Relevant To General Humanities///RAND Home Page,info8900,http://www.rand.org/publications/featured.html,Featured Titles
General Humanities Resources///Major Web Sites Relevant To General Humanities///RAND Home Page,info9047,http://www.rand.org:80/publications/#issue,Issue Papers
General Humanities Resources///Major Web Sites Relevant To General Humanities///RAND Home Page,info8977,http://www.rand.org:80/publications/#books,RAND Books Published by Other Presses
General Humanities Resources///Major Web Sites Relevant To General Humanities///RAND Home Page,info8946,http://www.rand.org:80/publications/#briefs,Research Briefs
General Humanities Resources///Major Web Sites Relevant To General Humanities///RAND Home Page,info8993,http://www.rand.org/Abstracts/abstracts.html,Search RAND Abstracts
General Humanities Resources///Major Web Sites Relevant To General Humanities///RAND Home Page,info8976,http://www.rand.org/areas/biblio.html,Subject Bibliographies
General Humanities Resources///Major Web Sites Relevant To General Humanities,info18822,http://www.bl.uk/collections/treasures/digitisation1.html,"Turning the Pages (""interactive program that allows museums and libraries to give members of the public access to precious books"") (British Library)"
General Humanities Resources///Major Web Sites Relevant To General Humanities,info16245,http://www.archive.org,"WayBack Machine (Internet Archive) (massive archive of Web sites launched on Oct. 24th, 2001, that is designed to provide access to Web pages as they existed in the past; searching for a site returns dated versions starting about fall 1996)"
General Humanities Resources///Major Web Sites Relevant To General Humanities,info8805,http://www.almaz.com/nobel/women.html,Women Nobel Prize Laureates (Nobel Prize Internet Archive)
General Humanities Resources///Humanities Text Archives,info8880,http://www.ku.edu/carrie/index.html,"Carrie: A Full-Text Electronic Library (Lynn Nelson, U. Kansas)"
General Humanities Resources///Humanities Text Archives,info8902,http://www.ceth.rutgers.edu/,CETH: Center for Electronic Texts in the Humanities (Princeton U. / Rugers U.)
General Humanities Resources///Humanities Text Archives,info18745,http://etext.lib.virginia.edu/uvaonline.html,"Electronic Text Center Collections (""holdings include approximately 70,000 on- and off-line humanities texts in thirteen languages, with more than 350,000 related images"") (U. Virginia)"
General Humanities Resources///Humanities Text Archives,info8994,http://www.lysator.liu.se/runeberg/admin/foreign.html,Major Electronic Text Projects (Project Runeberg)
General Humanities Resources///Humanities Text Archives,info8903,http://digital.library.upenn.edu/books/,"On-Line Books Page (John Mark Ockerbloom, U. Penn)"
General Humanities Resources///Humanities Text Archives,info8843,http://www.promo.net/pg/,Project Gutenberg
General Humanities Resources///Humanities Text Archives,info9024,http://www.hti.umich.edu/english/,U. Michigan Humanities Text Initiative
General Humanities Resources///Humanities Centers & Programs,info8845,http://www.chass.utoronto.ca:8080/cch/cch.html,"Centre for Computing in the Humanities, U. Toronto"
General Humanities Resources///Humanities Centers & Programs,info8980,http://www.chass.utoronto.ca:8080/cch/centres.html,Centres Relevant to Humanities Computing (U. Toronto)
General Humanities Resources///Humanities Centers & Programs,info9006,http://www.uwm.edu/Dept/chci/,Consortium of Humanities Centers and Institutes
General Humanities Resources///Humanities Centers & Programs,info8758,http://gwis.circ.gwu.edu:80/~humsci/,George Washington U. Program in Human Sciences
General Humanities Resources///Humanities Centers & Programs,info23127,http://www.nahe.org,National Association for Humanities Education (association founded to advance the teaching and understanding of the humanities; hosts a biennial conference and publishes the peer-reviewed journal Interdisciplinary Humanities)
General Humanities Resources///Humanities Centers & Programs,info8995,http://www.neh.fed.us/,National Endowment for the Humanities (NEH) (U.S.)
General Humanities Resources///Humanities Centers & Programs,info8871,http://www.nhc.rtp.nc.us:8080/,National Humanities Center (U.S.)
General Humanities Resources///Humanities Centers & Programs,info8981,http://www.nhumanities.org/index.html,National Humanities Institute (U.S.)
General Humanities Resources///Humanities Centers & Programs,info8807,http://www.sfsu.edu/~nexa/,NEXA: The Science-Humanities Convergence Program at San Francisco State U.
General Humanities Resources///Humanities Centers & Programs,info8982,http://www.nypl.org/research/chss/chss.html,NY Public Library Center for the Humanities
General Humanities Resources///Humanities Centers & Programs,info8808,http://shc.stanford.edu/,Stanford Humanities Center
General Humanities Resources///Humanities Centers & Programs,info9049,gopher://gopherlink.berkeley.edu:2000/11/townsend,UC Berkeley Townsend Humanities Center
General Humanities Resources///Humanities Centers & Programs,info8809,http://www.ukans.edu/~hallcntr/,U. Kansas Hall Center for the Humanities
General Humanities Resources///General Humanities Journals,info17298,http://www.apercu.info,"APERCU (monthly guide to new writing in the theoretical humanities and social sciences"")"
General Humanities Resources///General Humanities Journals,info8947,http://www.lib.latrobe.edu.au/AHR/,"Australian Humanities Review (""peer-reviewed interdisciplinary electronic archive published bi-monthly with weekly updates by La Trobe University,"" Victoria, Australia; ed. Cassandra Pybus)"
General Humanities Resources///General Humanities Journals,info18767,http://www.jstor.org/,JSTOR - The Scholarly Journal Archive
General Humanities Resources///General Humanities Journals,info9048,http://perso.wanadoo.fr/republique.des.lettres/,La République des Lettres (in French; includes online texts for articles since 1994)
General Humanities Resources///General Humanities Journals,info8979,http://www.prospect-magazine.co.uk/,"Prospect (""the intelligent monthly based in Britain"" on political, intellectual, and cultural issues for ""the intellectually curious general reader"")"
General Humanities Resources///General Humanities Journals,info8870,http://garnet.berkeley.edu:4045/,"Qui Parle (interdisciplinary humanities) (Mark Roberts, UC Berkeley)"
General Humanities Resources///General Humanities Journals,info17358,http://www.representations.org/,Representations  (interdisciplinary journal in the humanities and social sciences) (U. California Press)
General Humanities Resources///General Humanities Journals,info8844,http://www.millersv.edu/~resound/,"(Re)Soundings (peer-reviewed ""hypermedia periodical in the humanities"")"
General Humanities Resources///General Humanities Journals,info8904,http://www.slate.com/,"Slate (the canonical zine) (Michael Kinsley / Microsoft, Inc.)"
General Humanities Resources///General Humanities Journals,info8757,http://shr.stanford.edu:80/shreview/,Stanford Electronic Humanities Review
General Humanities Resources///Humanities Discussion Lists & Newsgroups,info8996,http://www.inference.com/cgi-bin/test/wcp?CB=usenet2,CasePoint Usenet Searcher (extremely powerful search-form that allows the user to submit a natural-language query and receive links to relevant newsgroups)
General Humanities Resources///Humanities Discussion Lists & Newsgroups,info8948,http://www.webcom.com/impulse/list.html,"E-Mail Discussion Groups and Lists - Resources (extensive info, resources, and how-to guide relating to lists) (Bob and Varda Novick)"
General Humanities Resources///Humanities Discussion Lists & Newsgroups,info17783,http://www.h-net.org/lists/,H-Net Discussion Networks (H-Net Humanities & Social Sciences OnLine)
General Humanities Resources///Humanities Discussion Lists & Newsgroups,info8846,http://www.liszt.com/,Liszt: Searchable Directory of E-Mail Discussion Groups (Scott Southwick)
General Humanities Resources///Humanities Discussion Lists & Newsgroups,info8997,gopher://dept.english.upenn.edu/11/Lists,Literary & Other Listservers (UPenn listserv index) (see also TILE.NET below)
General Humanities Resources///Humanities Discussion Lists & Newsgroups,info20801,http://www.mailbase.ac.uk/,Mailbase - National Academic Mailing List Service
General Humanities Resources///Humanities Discussion Lists & Newsgroups,info8949,http://www.Reference.COM/,"Reference.com (searchable directories of Usenet newsgroups, e-mail discussion lists, and Web discussion forums; advanced search features) (InReference, Inc.)"
General Humanities Resources///Humanities Discussion Lists & Newsgroups,info8983,http://tile.net/lists/,Tile.Net Lists (index of discussion lists and Usenet newsgroups) (Walter Shelby Group Ltd.)
General Humanities Resources///Humanities Discussion Lists & Newsgroups,info9007,http://www.tile.net/tile/news/index.html?,Tile.Net News (searchable index of Usenet newsgroups) (Walter Shelby Group Ltd.)
General Humanities Resources///General Humanities Courses,info8950,http://www.wsu.edu:8080/~brians/hum_303/hum_303_study_guides.html,"Paul Brians (Washington State U.), Humanities 303 (Reason, Romanticism & Revolution) Course Materials (includes well-developed set of ""study guides"" for a selection of canonical writers, philosophers, and musicians)"
General Humanities Resources///General Humanities Courses,info9069,http://www.california.edu/Catalogs/Humanities.html,"California Virtual University: Courses in Humanities, Literature, Languages, General Education (part of ""an Internet-based, interactive catalog that contains the online and technology mediated course offerings of 81 accredited California colleges and universities""; ""also links to 60 campus online libraries and offers a free cou"
General Humanities Resources///General Humanities Courses,info9070,http://www.providence.edu/admiss/dwc.htm,"Development of Western Civilization (Providence C., Rhode Island)"
General Humanities Resources///General Humanities Courses,info8998,http://icg.harvard.edu/~core/,Harvard U. Core Curriculum: Spring 1996 (Harvard U. Instructional Computing Group)
General Humanities Resources///General Humanities Courses,info8881,http://www.wsu.edu:8080/~dee/,"Richard Hooker (Washington State U.), World Cultures: An Internet Classroom and Anthology (""combines the reading and course materials of two World Cultures courses taught using web-based materials since fall of 1994. The site is now expanding into a larger resource for a larger population and distribution of students and will eventu"
General Humanities Resources///General Humanities Courses,info8905,http://www.idbsu.edu/courses/hy101/,"Ellis L. Knox (Boise State U.), History of Western Civilization (illustrated, hypertext course)"
General Humanities Resources///General Humanities Courses,info8951,http://www.mala.bc.ca/~mcneil/template.htx,"Malaspina University-College College Liberal Studies ""Great Books"" Program (Malaspina University-College, British Columbia)"
General Humanities Resources///General Humanities Courses,info9008,http://www.evansville.edu/~wc102web/,"Shirley J. Schwarz (U. Evansville), ""World Cultures: The Emergence of the West"""
General Humanities Resources///General Humanities Conferences & Calls for Papers,info8847,http://www.shef.ac.uk/uni/academic/D-H/el/cross.html,"Crossing Boundaries: An International Interdisciplinary Postgraduate Conference (April 17-19, 1998, U. Sheffield, UK)"
General Humanities Resources///General Humanities Conferences & Calls for Papers,info8999,http://www.best.com/~fearless/humanitieswest.html,Humanities West (info on lecture series featuring eminent humanities scholars at Humanities West in San Francisco; includes links to related resources) (Jetty & Dick Bullis)
General Humanities Resources///General Humanities Conferences & Calls for Papers,info9050,http://www.gwu.edu/~humsci/inter/inter.html,"Intersections, George Washington U., Mar. 30, 1996 (interdisciplinary graduate student conference ""to facilitate dialogue across traditional disciplinary boundaries""; John Guillory is the keynote speaker)"
"General Humanities Resources///Copyright & Intellectual Property: Issues, Law, &   Services",info8952,http://www.law.cornell.edu/amistad/,"""The Amistad case: 'Outright Plagiarism' or 'Who Owns History?' "" (""site devoted to the Amistad incident and Supreme Court case [1841] ['the first civil rights case in American jurisprudence'], as well as the new Spielberg movie on the same topic and the court controversy surrounding that film"") (Michael"
"General Humanities Resources///Copyright & Intellectual Property: Issues, Law, &   Services",info8953,http://www.cause.org/information-resources/ir-library/html/cem9734.html,"Dan L. Burk (School of Law, Seton Hall U.), ""Ownership of Electronic Course Materials in Higher Education"" (1997) (Cause/Effect)"
"General Humanities Resources///Copyright & Intellectual Property: Issues, Law, &   Services",info8810,http://www.law.cornell.edu/usc/17/overview.html,"Copyright Act of 1976, as Amended"
"General Humanities Resources///Copyright & Intellectual Property: Issues, Law, &   Services",info8811,http://www.nlc-bnc.ca/ifla/II/cpyright.htm,Copyright and Intellectual Property (International Federation of Library Associations and Institutions)
"General Humanities Resources///Copyright & Intellectual Property: Issues, Law, &   Services",info8954,http://www.vra.oberlin.edu/copyright.html,"Copyright: Documents, Statements, Reports & Other Links (Visual Resources Assoc.)"
"General Humanities Resources///Copyright & Intellectual Property: Issues, Law, &   Services",info9025,http://www.utsystem.edu/OGC/IntellectualProperty/image.htm,"Copyright and Image Management (extensive, detailed guide to copyright issues relevant to academic text and image work) (Georgia Harper, Office of General Counsel, U. Texas System)"
"General Humanities Resources///Copyright & Intellectual Property: Issues, Law, &   Services",info9051,http://www.copyright.com/welcome.html,"Copyright Clearance Center Online (""not-for-profit organization created at the suggestion of Congress to help organizations like yours comply with U.S. copyright law. Through its collective licensing programs, CCC provides authorized users with a lawful means for making photoco"
"General Humanities Resources///Copyright & Intellectual Property: Issues, Law, &   Services",info9071,http://educom.edu/educom.review/review.95/jan.feb/lyman,"""Copyright and Fair Use in the Digital Age: Q&A with Peter Lyman"" (Educom Review)"
"General Humanities Resources///Copyright & Intellectual Property: Issues, Law, &   Services",info8882,http://www.benedict.com/homepage.htm#home,The Copyright Website (P. J. Benedict O'Mahoney)
"General Humanities Resources///Copyright & Intellectual Property: Issues, Law, &   Services",info9026,http://wwww.wired.com/wired/3.07/features/dyson.html,"Esther Dyson, ""Intellectual Value"" (1994) (HotWired)"
"General Humanities Resources///Copyright & Intellectual Property: Issues, Law, &   Services",info8883,http://www.utsystem.edu/OGC/IntellectualProperty/imagguid.htm,"Educational Fair Use Guidelines for Digital Images (Georgia Harper, Office of General Counsel, U. Texas System)"
"General Humanities Resources///Copyright & Intellectual Property: Issues, Law, &   Services///John S. Erickson (Darmouth U.)",info9000,http://picard.dartmouth.edu/FairUseInfoFuture.html,"""Can Fair Use Survive our Information-based Future?"""
"General Humanities Resources///Copyright & Intellectual Property: Issues, Law, &   Services///John S. Erickson (Darmouth U.)",info9052,http://picard.dartmouth.edu/DAGS95.html,"""A Copyright Management System for Networked Interactive Multimedia"""
"General Humanities Resources///Copyright & Intellectual Property: Issues, Law, &   Services",info8955,http://www.arl.org/scomm/copyright/uses.html,"""Fair Use in the Electronic Age: Serving the Public Interest"" (Working Document) (Amer. Assoc. of Law Libraries, Amer. Library Assoc., Assoc. of Academic Health Sciences Library Directors, Assoc. of Research Libraries, Medical Library Assoc, Special Libraries Assoc.)"
